时间,基金代码,基金简称,跟踪指数,旧状态,新状态,旧限额,新限额
2026-05-11T17:15:24+08:00,018043,天弘纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:26+08:00,018044,天弘纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:28+08:00,018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普500,(新增),暂停申购,,100.0
2026-05-11T17:15:30+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-11T17:15:32+08:00,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:34+08:00,018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:36+08:00,019172,摩根纳斯达克100指数(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:38+08:00,019173,摩根纳斯达克100指数(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:40+08:00,019305,摩根标普500指数(QDII)人民币C,标普500,(新增),限制大额申购,,100.0
2026-05-11T17:15:42+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T17:15:43+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T17:15:45+08:00,019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:15:47+08:00,019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:15:49+08:00,019547,招商纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:51+08:00,019548,招商纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:53+08:00,019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:56+08:00,019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:15:58+08:00,040046,华安纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:16:00+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-11T17:16:02+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T17:16:04+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-11T17:16:06+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-11T17:16:08+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
